sample_ID	year	sampling_date	departement	AMISULBROM_SSSHAM	AMISULBROM_SHAM	S34L	AOX	AMETOC	AMISUL
14-127	2014	11/09/14	51	1	0	NA	1	0	0
14-128	2014	11/09/14	51	1	NA	NA	NA	0	NA
14-129	2014	11/09/14	51	0	NA	NA	0	0	NA
14-130	2014	11/09/14	51	1	0	NA	1	0	0
14-135	2014	19/09/14	46	0	NA	NA	0	0	NA
14-140	2014	08/10/14	33	0	NA	NA	0	0	NA
15-082	2015	01/07/15	64	1	0	0	1	0	0
15-083	2015	01/07/15	39	0	0	1	0	2	0
15-084	2015	01/07/15	39	1	NA	0	NA	NA	NA
15-085	2015	01/07/15	39	1	0	0	1	1	0
15-086	2015	01/07/15	39	1	0	0	1	0	0
15-087	2015	01/07/15	39	0	NA	NA	0	NA	NA
15-088	2015	01/07/15	39	1	0	0	1	0	0
15-112	2015	04/08/15	44	0	0	NA	0	0	0
15-114	2015	06/08/15	44	0	NA	NA	0	NA	NA
15-115	2015	06/08/15	44	0	0	NA	0	0	0
15-116	2015	08/09/15	33	0	0	0	0	0	0
15-125	2015	16/09/15	33	0	NA	NA	0	NA	NA
15-128	2015	17/09/15	33	0	NA	NA	0	NA	NA
16-038	2016	01/06/16	26	NA	NA	0	NA	NA	NA
16-095	2016	30/06/16	64	0	0	0	0	0	0
16-108	2016	06/07/16	18	0	0	0	0	0	0
16-138	2016	18/07/16	33	0	0	0	0	0	0
16-141	2016	19/07/16	21	0	0	0	0	0	0
16-146	2016	20/07/16	18	0	0	0	0	0	0
16-147	2016	20/07/16	71	1	0	0	1	0	0
16-148	2016	20/07/16	71	0	0	0	0	0	0
16-149	2016	20/07/16	71	0	0	0	0	0	0
16-150	2016	20/07/16	71	0	0	0	0	0	0
16-158	2016	22/07/16	41	0	0	0	0	0	0
16-162	2016	27/07/16	89	0	0	0	0	0	0
16-163	2016	27/07/16	89	0	0	0	0	0	0
16-164	2016	27/07/16	89	0	0	0	0	0	0
16-167	2016	28/07/16	81	0	0	0	0	0	0
16-168	2016	28/07/16	17	0	0	0	0	0	0
16-169	2016	28/07/16	17	0	0	0	0	0	0
16-170	2016	28/07/16	51	0	0	0	0	0	0
16-172	2016	28/07/16	51	0	0	0	0	0	0
16-174	2016	28/07/16	51	0	0	0	0	0	0
16-175	2016	28/07/16	51	0	0	0	0	0	0
16-176	2016	28/07/16	51	1	0	0	1	0	0
16-178	2016	28/07/16	51	1	0	0	1	0	0
16-179	2016	28/07/16	51	1	0	NA	1	0	0
16-182	2016	10/08/16	44	0	0	0	0	0	0
16-183	2016	11/08/16	21	0	0	0	0	0	0
16-184	2016	11/08/16	44	0	0	0	0	0	0
16-185	2016	11/08/16	18	0	0	0	0	0	0
16-186	2016	12/08/16	51	1	1	1	NA	1	1
16-187	2016	11/08/16	51	1	0	0	1	1	0
16-188	2016	11/08/16	51	1	0	1	1	1	0
16-193	2016	21/07/16	81	NA	NA	0	NA	NA	NA
16-194	2016	16/08/16	81	NA	NA	0	NA	NA	NA
16-196	2016	18/08/16	49	0	0	0	0	0	0
16-197	2016	18/08/16	49	0	0	0	0	0	0
16-198	2016	17/08/16	79	NA	NA	0	NA	NA	NA
16-203	2016	23/08/16	81	0	0	NA	0	0	0
16-206	2016	24/08/16	68	0	0	0	0	0	0
16-206	2016	22/08/16	68	NA	NA	0	NA	NA	NA
16-207	2016	24/08/16	67	1	1	NA	NA	1	1
16-208	2016	24/08/16	67	NA	NA	0	NA	NA	NA
16-209	2016	24/08/16	67	1	0	0	1	0	0
16-209	2016	24/08/16	67	NA	NA	0	NA	NA	NA
16-210	2016	24/08/16	39	1	0	0	1	0	0
16-211	2016	24/08/16	39	1	0	0	1	0	0
16-212	2016	24/08/16	39	1	0	0	1	0	0
16-213	2016	24/08/16	39	0	0	NA	0	0	0
16-214	2016	24/08/16	39	1	0	0	1	0	0
16-228	2016	08/09/16	49	0	0	0	0	0	0
16-228	2016	08/09/16	49	NA	NA	0	NA	NA	NA
16-230	2016	18/09/16	17	NA	NA	0	NA	NA	NA
16-248	2016	05/10/16	67	NA	NA	0	0	0	NA
16-249	2016	05/10/16	68	1	0	0	1	1	0
17-079	2017	05/07/17	18	0	0	0	0	0	0
17-080	2017	05/07/17	18	0	0	0	0	0	0
17-083	2017	13/07/17	64	1	0	1	1	1	0
17-090	2017	19/07/17	24	NA	NA	0	NA	NA	NA
17-092	2017	26/07/17	89	0	0	0	0	0	0
17-093	2017	26/07/17	71	1	0	0	1	0	0
17-094	2017	26/07/17	71	0	0	0	0	0	0
17-095	2017	26/07/17	71	0	0	0	0	0	0
17-096	2017	26/07/17	71	1	0	0	1	0	0
17-097	2017	27/07/17	21	1	0	0	1	0	0
17-098	2017	27/07/17	21	1	0	0	1	0	0
17-099	2017	27/07/17	21	1	0	0	1	0	0
17-100	2017	27/07/17	21	0	0	0	0	0	0
17-101	2017	27/07/17	32	1	0	0	1	0	0
17-102	2017	27/07/17	32	1	0	1	1	0	0
17-103	2017	27/07/17	32	1	0	1	1	0	0
17-104	2017	27/07/17	32	NA	NA	1	NA	NA	NA
17-105	2017	27/07/17	51	0	0	0	0	0	0
17-106	2017	27/07/17	51	1	0	0	1	0	0
17-107	2017	27/07/17	51	1	0	0	1	0	0
17-108	2017	27/07/17	51	0	0	0	0	0	0
17-109	2017	27/07/17	51	1	0	1	1	0	0
17-110	2017	27/07/17	51	1	0	0	1	0	0
17-111	2017	27/07/17	51	0	0	0	0	0	0
17-112	2017	27/07/17	51	1	0	0	1	0	0
17-113	2017	27/07/17	33	0	0	1	0	0	0
17-117	2017	01/08/17	17	0	0	0	0	0	0
17-121	2017	03/08/17	39	1	0	0	1	0	0
17-122	2017	03/08/17	39	0	0	0	0	0	0
17-126	2017	07/08/17	32	1	0	1	1	2	0
17-127	2017	07/08/17	32	1	0	0	1	0	0
17-129	2017	17/08/17	64	0	0	0	0	0	0
17-135	2017	01/09/17	24	1	0	0	1	0	0
