sample_ID	region	raw_MIC	year	sham	0	0.01	0.1	1	10	100
14-071	PC	0.1	2014	no	100	34	0	0	0	0
14-072	PC	0.1	2014	no	100	92	0	0	0	0
14-077	PC	0.1	2014	no	100	86	0	0	0	0
14-078	PC	0.1	2014	no	100	105	0	0	0	0
14-051	PL	0.1	2014	no	100	101	0	0	0	0
14-083	PL	0.1	2014	no	100	103	0	0	0	0
14-096	PL	1	2014	no	100	103	1	0	0	0
14-097	PL	0.1	2014	no	100	103	0	0	0	0
14-112	PL	0.1	2014	no	100	74	0	0	0	0
15-082	AQ	>100	2015	no	100	79	79	84	77	14
15-116	AQ	1	2015	no	100	99	4	0	0	0
15-125	AQ	1	2015	no	100	94	20	0	0	0
15-128	AQ	1	2015	no	100	38	0	0	0	0
15-083	FC	0.1	2015	no	100	89	0	0	0	0
15-084	FC	100	2015	no	100	82	80	40	32	0
15-085	FC	100	2015	no	100	103	71	55	33	0
15-086	FC	100	2015	no	100	103	79	54	67	0
15-087	FC	0.1	2015	no	100	102	0	0	0	0
15-088	FC	100	2015	no	100	91	39	10	3	0
15-112	PL	0.1	2015	no	100	108	0	0	0	0
15-114	PL	0.1	2015	no	100	89	0	0	0	0
15-115	PL	0.1	2015	no	100	2	0	0	0	0
